workload,allocator,addrmap,block_tokens,seed,headroom,kv_shards,coalesce,csv,n_requests,completed,dropped,frag_failures,decode_steps,samples,peak_live_blocks,pool_blocks,pool_utilization_peak,blocks_allocated_total,cow_copies,spec_stalls,copied_bytes,m1_mean,m1_p05,m1_p95,m2_mean,m2_p05,m2_p95,m3_gbps_mean,m4_ns_mean,m4_ns_p95,arrival_rate
steady,paged,host-cacheline,16,0,1.6,1,window,results/phaseA/steady_paged_host-cacheline_bt16_hr1.6_s0.csv,1000,1000,0,0,5836,2495,2786,3891,0.71601131,37546,0,0,0,0.77235167,0.73913043,0.9,0.98912537,0.96354167,1,1240.1976,2083.7558,5723.5,
steady,paged,host-cacheline,16,0,2,1,window,results/phaseA/steady_paged_host-cacheline_bt16_hr2.0_s0.csv,1000,1000,0,0,5836,2495,2786,4864,0.57277961,37546,0,0,0,0.77226313,0.73913043,0.90056075,0.98912537,0.96354167,1,1239.7506,2083.5601,5723.5,
steady,paged,host-cacheline,16,0,1.3,1,window,results/phaseA/steady_paged_host-cacheline_bt16_ar0.5_s0.csv,1000,1000,0,0,5789,2475,2480,3161,0.78456185,37546,0,0,0,0.76566318,0.73973913,0.88165503,0.98974905,0.96621503,1,1206.3856,2173.5398,5839.3,0.5
steady,paged,host-cacheline,16,0,1.3,1,window,results/phaseA/steady_paged_host-cacheline_bt16_ar1.0_s0.csv,1000,1000,0,0,5747,2455,2492,3161,0.78835811,37546,0,0,0,0.76390112,0.73913043,0.87591463,0.9900729,0.96730549,1,1198.6739,2156.7806,5686.99,1
steady,paged,host-cacheline,16,1,1.3,1,window,results/phaseA/steady_paged_host-cacheline_bt16_s1.csv,1000,1000,0,0,6148,2645,2661,3244,0.8202836,39293,0,0,0,0.76805149,0.74074074,0.90258065,0.98963017,0.96634615,1,1220.1663,2256.381,5961.98,
steady,paged,host-cacheline,16,2,1.3,1,window,results/phaseA/steady_paged_host-cacheline_bt16_s2.csv,1000,1000,0,0,6408,2780,2294,2995,0.76594324,36203,0,0,0,0.76509755,0.73913043,0.87904616,0.98967527,0.96496429,1,1200.7904,2232.633,5798.6,
steady,paged,host-cacheline,64,0,1.3,1,window,results/phaseA/steady_paged_host-cacheline_bt64_s0.csv,1000,1000,0,0,5921,2540,655,832,0.78725962,9774,0,0,0,0.93464605,0.92,0.95238095,0.9890527,0.96354167,1,2336.774,1065.8146,2830.23,
steady,paged,host-cacheline,64,0,1.3,1,inorder,results/phaseA/steady_paged_host-cacheline_bt64_cminorder_s0.csv,1000,1000,0,0,5921,2540,655,832,0.78725962,9774,0,0,0,0.99179957,0.98976109,0.99401287,0.12397495,0.12372014,0.12425161,438.41494,5756.6779,15483.08,
steady,paged,host-cacheline,64,1,1.3,1,window,results/phaseA/steady_paged_host-cacheline_bt64_s1.csv,1000,1000,0,0,6151,2646,689,832,0.828125,10185,0,0,0,0.93488554,0.92105263,0.95309161,0.98975903,0.96634615,1,2340.8588,1128.7714,2904.9,
steady,paged,host-cacheline,64,2,1.3,1,window,results/phaseA/steady_paged_host-cacheline_bt64_s2.csv,1000,1000,0,0,6500,2829,580,748,0.77540107,9419,0,0,0,0.93447233,0.92105263,0.95,0.98988473,0.96759259,1,2334.7372,1113.797,2872.8,
steady,paged,host-cacheline,128,0,1.3,1,window,results/phaseA/steady_paged_host-cacheline_bt128_s0.csv,1000,1000,0,0,5985,2572,334,416,0.80288462,5131,0,0,0,0.96321037,0.95,0.96875,0.9892735,0.96428571,1,2803.1543,881.77068,2300.7,
